Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
23.626 -0.0279 0.9103 0.3709 1.854 0.1466 0.2449 0.1148 -1.1579 -0.1501 0.1764 0.2541 0.1032 -0.4786 0.9919
20.262 -0.1194 1.3681 3.2332 0.5406 0.1451 0.1516 0.0497 0.5977 1.3583 0.0106 0.1646 0.0728 0.7205 0.3706
27.29 0.0519 0.7269 4.1284 0.6187 0.1639 0.2873 0.1648 -1.9523 -0.9523 0.1765 0.1895 0.0655 0.6523 0.3275
15.618 -0.6041 0.9803 1.3997 1.8546 0.1643 0.2172 0.1838 -1.9001 1.9007 0.0331 0.1554 0.0457 0.2024 0.5754
14.314 -0.2043 0.6715 4.8319 0.6793 0.1596 0.158 0.1923 0.5197 1.4429 0.2317 0.142 0.0294 -0.5566 0.9201
14.566 0.6327 0.6347 0.3071 1.9584 0.1529 0.1343 0.1736 0.9421 0.9497 0.0891 0.2736 0.0592 0.6606 0.775
28.358 -0.6982 1.4127 2.6722 0.4974 0.1532 0.1453 0.1928 -1.7405 -0.7213 0.0508 0.2802 0.0382 -0.5176 0.803
12.154 -0.6315 1.2307 4.8477 1.87 0.1381 0.1476 0.0348 -1.1093 1.0157 0.2088 0.135 0.1475 -0.6469 0.8928
13.43 0.3983 0.5821 2.2271 0.3773 0.1362 0.2905 0.0305 -0.4253 1.6583 0.1849 0.2368 0.0847 -0.7954 0.599
29.778 -0.286 0.7121 0.8907 0.53 0.1595 0.2531 0.0155 0.1171 -0.0361 0.0916 0.273 0.0255 0.1454 0.9954
14.414 -0.4112 0.5239 4.6649 1.9186 0.1605 0.2736 0.0611 0.9019 1.2215 0.025 0.1771 0.15 0.3432 0.866
19.95 0.6985 0.6739 4.7376 1.7863 0.1354 0.1417 0.1043 -1.9589 -0.5737 0.0737 0.1747 0.1492 0.707 0.4042
29.918 -0.6486 1.4759 2.794 1.8383 0.1372 0.2829 0.184 -0.7409 -0.4375 0.1778 0.1426 0.0316 0.4226 0.4227
18.398 -0.0917 0.5771 0.7139 0.8887 0.1637 0.1492 0.0496 -0.8279 0.6149 0.0228 0.2616 0.1476 -0.131 0.4129
17.71 0.6285 0.7519 4.0174 1.669 0.1551 0.1388 0.08 -1.6943 0.6761 0.1461 0.2821 0.0265 -0.5483 0.617
14.998 -0.2801 1.0765 0.0663 1.3334 0.162 0.2659 0.1341 0.5755 0.8639 0.2227 0.2296 0.0443 -0.004 0.3974
14.326 -0.4991 1.2953 4.7612 0.6657 0.1554 0.2791 0.1721 -1.9877 1.9613 0.1265 0.2497 0.1438 -0.4635 0.689
28.506 -0.5293 0.7033 1.3968 1.3562 0.1629 0.2376 0.1779 0.6919 -0.5683 0.0349 0.1822 0.0251 -0.7723 0.6676
21.666 -0.2166 1.2421 0.9684 0.8761 0.1363 0.2985 0.1747 0.9007 -0.2107 0.0667 0.1663 0.1383 -0.452 0.3174
29.09 -0.0267 0.6155 2.9424 0.6068 0.141 0.1554 0.0508 -0.3869 -0.2335 0.2343 0.1433 0.0986 0.7477 0.8546
14.226 0.2087 0.6569 0.1125 0.7469 0.1538 0.258 0.1767 -0.9887 0.4919 0.0389 0.1549 0.09 0.2984 0.9792
28.746 0.4691 1.1335 2.684 1.9383 0.1573 0.2895 0.0326 -1.9361 1.8197 0.2427 0.1614 0.0365 -0.011 0.9322
28.186 -0.5988 0.5809 0.2776 1.5038 0.1583 0.2159 0.0376 -1.8701 -0.3349 0.2387 0.1652 0.0569 -0.4677 0.443
29.162 -0.4215 0.8963 2.2438 1.9022 0.1568 0.1323 0.0132 -1.3283 0.7217 0.0433 0.2151 0.0563 0.4642 0.9193
24.262 -0.6021 0.8583 3.245 1.7309 0.1562 0.2627 0.1737 0.0865 -0.6907 0.2252 0.239 0.1422 0.5253 0.6936
18.778 -0.6979 1.1845 0.5537 1.926 0.1476 0.14 0.1486 -1.5917 -0.2737 0.1313 0.2326 0.129 -0.5474 0.3832
29.398 -0.2491 0.7677 4.4556 0.6456 0.146 0.2603 0.0376 -0.9191 -0.6163 0.0361 0.2598 0.1342 -0.4146 0.513
