Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
23.9275 -0.9067 1.0812 1.0408 0.5401 0.1239 0.2841 0.1081 -1.8628 1.9782 0.2005 0.1492 0.0627 -0.7476 0.6176
29.5875 -0.3823 0.9232 0.5274 1.9843 0.1376 0.2105 0.197 0.8567 -0.7397 0.0573 0.2718 0.0775 -0.0716 0.7923
20.0325 -0.3811 1.0308 1.4769 0.8334 0.1515 0.2802 0.1621 -1.6228 -0.0662 0.0261 0.1538 0.0261 0.734 0.4108
28.3325 -0.7981 1.2603 0.0557 1.799 0.1594 0.1387 0.0531 -1.9692 1.8883 0.0861 0.1225 0.0264 -0.6892 0.3583
28.1525 -0.6253 1.0052 0.1237 0.4126 0.1398 0.2272 0.0184 -1.5762 0.1033 0.1635 0.2861 0.0888 -0.6844 0.8903
21.6075 -0.1219 1.3978 1.5763 1.1462 0.1284 0.1305 0.1584 -1.9302 0.5157 0.1169 0.1926 0.1392 -0.786 0.7408
20.2025 -0.7999 0.5913 0.6311 0.9243 0.1252 0.2734 0.1925 0.9648 0.2742 0.2185 0.1332 0.029 -0.774 0.4573
29.2025 -0.6829 1.4598 1.1012 0.3472 0.1254 0.2785 0.1571 0.5162 -0.8552 0.2304 0.228 0.1373 -0.542 0.4979
22.6175 -0.6169 1.2312 1.4505 1.2201 0.1601 0.1521 0.0172 0.9093 1.9603 0.0236 0.1263 0.0943 0.0572 0.9368
20.8825 -0.8719 1.0423 0.2614 1.7913 0.1598 0.2851 0.1854 -0.6598 -0.8042 0.0156 0.2973 0.0438 0.7396 0.9571
29.8975 -0.5233 1.1918 0.9278 0.9039 0.1344 0.271 0.1282 -1.9062 -0.9272 0.2463 0.1529 0.0584 0.6812 0.6876
29.8875 -0.8665 1.0912 1.5916 1.7684 0.1632 0.2074 0.1976 0.2313 -0.4232 0.1845 0.1456 0.1406 0.386 0.9606
29.8925 -0.5971 0.8182 0.0157 1.34 0.132 0.1683 0.014 -0.0913 -0.9512 0.1327 0.2599 0.1361 0.754 0.8287
20.6375 -0.7429 1.4108 0.5597 1.5576 0.1213 0.2319 0.018 -0.7827 1.6918 0.0437 0.1229 0.1483 -0.6292 0.3422
27.9725 -0.7417 1.0848 1.2814 1.8211 0.1639 0.185 0.0366 -0.9672 -0.9992 0.0398 0.1637 0.1428 -0.6548 0.3068
20.1975 -0.6871 1.3072 0.7289 1.2108 0.1639 0.2931 0.1546 -0.1557 -0.5748 0.23 0.2594 0.0311 -0.5948 0.6449
22.6975 -0.3097 1.4832 0.5257 1.2898 0.1212 0.1874 0.1903 0.1307 1.8088 0.1813 0.1314 0.0287 -0.6236 0.5368
27.1975 -0.5173 0.8502 0.275 0.4169 0.138 0.1351 0.1631 -1.0122 -0.2297 0.1437 0.1466 0.076 -0.5084 0.3156
21.6325 -0.9013 1.2638 0.1135 1.8296 0.1424 0.1303 0.1613 0.1188 1.7293 0.0313 0.2257 0.1392 -0.7868 0.8581
21.7925 -0.1747 1.4948 0.4382 0.9345 0.1385 0.2708 0.1996 -0.4032 -0.3753 0.1261 0.1965 0.1387 0.7444 0.3873
27.9125 -0.1477 0.5448 1.4726 0.8512 0.1621 0.138 0.0904 -0.8817 -0.1967 0.026 0.1352 0.0252 -0.7948 0.8255
24.0575 -0.0559 0.8898 0.8419 0.4602 0.1237 0.2308 0.0541 0.8418 -0.9588 0.1875 0.12 0.0559 0.3404 0.9701
29.6625 -0.9259 0.8742 0.1509 1.1079 0.1555 0.2998 0.1719 -0.9238 1.5867 0.0198 0.2913 0.072 -0.3196 0.723
27.8725 -0.8311 1.2908 1.0782 0.8801 0.1404 0.2229 0.1879 -1.2552 1.8342 0.0703 0.1394 0.0547 0.7868 0.5711
26.5775 -0.8437 0.9998 0.4501 0.4135 0.1302 0.2394 0.1895 0.7353 -0.8868 0.0456 0.2622 0.1423 0.1284 0.8336
24.7225 -0.2881 1.2382 1.4998 0.9405 0.1453 0.2991 0.0368 -1.4757 1.8928 0.0595 0.2318 0.1472 -0.6284 0.9872
20.2225 0.1325 0.5732 0.9728 0.4186 0.1392 0.2403 0.1731 -0.1573 1.5042 0.0938 0.1452 0.0263 -0.5716 0.4111
28.4575 -0.0289 0.9352 0.7782 1.9919 0.1606 0.1918 0.0117 -1.1082 -0.7022 0.1823 0.2926 0.0387 0.4012 0.9151
28.0225 -0.7909 1.2212 1.0145 1.1581 0.1283 0.2286 0.1193 -1.4908 -0.2748 0.1403 0.1212 0.1437 -0.3876 0.7321
20.9225 -0.5029 1.3828 0.1186 0.9872 0.1441 0.2808 0.189 0.8883 1.6392 0.0143 0.1578 0.0606 0.2252 0.7275
