Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
25.3225 -0.4261 1.3323 0.5767 1.6426 0.1273 0.183 0.142 -0.0807 -0.0812 0.0435 0.1519 0.1125 0.2532 0.3761
21.5025 -0.1045 0.7328 0.9652 1.5372 0.1539 0.2803 0.0257 -0.4632 0.8848 0.2481 0.2872 0.0298 -0.6212 0.919
24.3425 -0.9115 0.7048 1.0757 0.3523 0.1233 0.2826 0.0391 -0.5157 -0.7847 0.027 0.131 0.1225 0.1356 0.9662
25.2775 -0.6685 1.3913 1.6885 1.589 0.1212 0.2016 0.105 -1.9092 0.3448 0.2419 0.1366 0.1128 -0.686 0.4867
28.6175 -0.6157 1.4258 0.2682 0.7645 0.1392 0.1326 0.1866 0.2027 1.8013 0.0308 0.2777 0.1377 -0.3756 0.8658
23.2925 -0.0139 0.9448 0.173 0.5945 0.1271 0.1895 0.162 -1.4533 0.2218 0.2307 0.1432 0.0477 -0.3396 0.556
23.6125 -0.5521 1.2188 1.2652 1.4258 0.1301 0.145 0.0607 -0.1947 0.2698 0.0267 0.122 0.0271 -0.1564 0.9659
29.7075 0.0653 0.7318 0.4373 1.7446 0.1314 0.2714 0.039 0.3468 -0.7712 0.0698 0.2824 0.1242 0.7852 0.6936
26.4325 -0.8839 0.8152 0.4025 1.0646 0.1301 0.1354 0.1449 -1.6558 -0.9572 0.1695 0.29 0.0843 0.1548 0.3387
25.4475 -0.2833 1.1393 0.5512 1.2473 0.1254 0.2935 0.1633 -1.7232 -0.8628 0.0926 0.2286 0.123 -0.79 0.7608
29.4475 -0.5137 0.7942 0.9099 1.6392 0.1555 0.2691 0.1808 -1.1457 0.5952 0.0282 0.1237 0.0332 -0.5372 0.3775
23.0325 -0.9895 1.3538 1.6409 1.7284 0.1443 0.2847 0.0987 0.4052 -0.0348 0.0137 0.2289 0.1276 -0.7732 0.8423
27.3975 -0.5551 1.1318 1.4403 0.3591 0.1323 0.2768 0.0665 -1.5358 -0.9902 0.2333 0.2127 0.0285 0.1596 0.6197
29.4925 -0.2191 0.6272 1.5857 0.5189 0.1393 0.1636 0.1765 -1.8808 -0.5748 0.0421 0.1438 0.1348 0.602 0.7566
24.2275 -0.4417 1.1282 0.0302 1.3663 0.1315 0.2231 0.0374 0.5987 -0.5778 0.2495 0.184 0.1126 -0.2644 0.3499
22.8975 -0.5995 1.3128 0.0123 0.7254 0.1229 0.2244 0.0457 -1.4022 1.6978 0.0747 0.128 0.1418 -0.3812 0.7156
22.0075 -0.0787 1.2978 1.4845 0.7662 0.1217 0.1415 0.0642 -0.0132 -0.4218 0.1209 0.2952 0.1401 0.5596 0.976
22.1025 -0.3325 0.5012 0.4237 1.5686 0.1289 0.2137 0.137 0.3752 -0.7652 0.1321 0.1619 0.0297 0.7332 0.6274
20.6475 -0.8191 0.8412 0.949 0.711 0.1218 0.2843 0.1923 -1.9032 -0.5237 0.0326 0.2461 0.1457 0.7404 0.5914
22.1575 -0.9919 0.7762 0.932 0.7841 0.1327 0.2443 0.0146 -1.4472 -0.6242 0.0221 0.1343 0.03 0.53 0.3495
29.7775 -0.6589 1.2328 1.2865 1.1122 0.1295 0.1893 0.0878 0.6902 -0.3842 0.1098 0.2782 0.0383 -0.2476 0.7296
29.9575 -0.2233 0.7338 0.5079 1.7641 0.1303 0.1336 0.0735 -0.9193 -0.8822 0.0123 0.2438 0.1413 -0.6764 0.4832
26.0075 -0.9055 0.6068 0.1432 1.0756 0.1233 0.289 0.0117 -1.6692 -0.6122 0.1893 0.2447 0.1015 -0.7092 0.8094
27.0375 -0.4183 1.1658 0.581 0.8827 0.1625 0.2692 0.1777 0.1488 -0.9198 0.2359 0.2678 0.1298 0.0276 0.8469
25.4925 -0.2911 1.4348 1.2108 0.6217 0.1599 0.2456 0.0739 -1.9392 0.0012 0.02 0.1263 0.0497 0.7004 0.8038
26.3525 -0.7123 1.4762 0.0166 1.1419 0.1234 0.2047 0.069 -1.7832 -0.1382 0.23 0.1337 0.0377 0.6364 0.331
24.1825 -0.8413 0.9288 1.5823 1.2269 0.1297 0.1884 0.1879 -1.1382 -0.7592 0.2084 0.1497 0.0299 -0.1804 0.9627
23.7675 0.1661 0.9988 0.6566 1.9647 0.1258 0.1469 0.0859 0.5972 1.8088 0.1029 0.2016 0.0634 -0.7212 0.4986
21.5275 0.0521 0.7932 0.1449 0.4058 0.1417 0.1554 0.1483 -0.2952 -0.2568 0.0217 0.1315 0.0487 -0.442 0.9452
21.8775 -0.7435 0.9318 1.0476 0.5512 0.1249 0.1345 0.0176 -1.4802 0.7108 0.1932 0.1954 0.0306 0.1044 0.8091
24.7075 -0.5425 1.1072 0.3081 0.4033 0.1382 0.2941 0.0614 -1.5132 0.2652 0.1991 0.2072 0.03 -0.734 0.3282
28.0425 -0.7963 1.2518 1.0128 1.4845 0.1248 0.2041 0.0343 -1.8418 0.2037 0.0243 0.2746 0.1277 0.7748 0.3614
25.2075 -0.6193 1.0198 1.2763 0.7186 0.1275 0.1316 0.0893 0.0948 -0.1607 0.0633 0.1869 0.059 -0.0764 0.3765
29.1075 0.0209 1.0052 1.5406 1.8313 0.1214 0.2452 0.1392 0.1937 -0.9678 0.0719 0.2749 0.1338 -0.6044 0.9711
21.7925 -0.5701 1.3698 0.8632 0.8002 0.1277 0.2337 0.173 -0.9642 -0.5552 0.1521 0.1277 0.1174 0.078 0.5518
20.4975 0.1721 0.5052 1.5049 0.756 0.1207 0.2624 0.1121 -1.6242 1.8148 0.0573 0.1475 0.1347 -0.31 0.6831
24.5375 -0.8125 1.0348 0.3362 0.439 0.1293 0.2937 0.1671 0.9737 0.2173 0.0464 0.137 0.0739 0.1396 0.7734
26.5375 -0.9169 0.9388 0.1381 1.7998 0.1346 0.2033 0.0809 -0.1302 -0.3242 0.0763 0.2145 0.0987 0.0892 0.7496
21.4075 -0.0643 0.8798 0.9133 0.6855 0.1211 0.2977 0.1701 -1.8102 -0.6572 0.1175 0.17 0.0252 -0.1988 0.3142
20.4775 -0.6547 1.4528 0.2053 1.0348 0.1366 0.2732 0.1886 -1.6812 -0.8372 0.1579 0.2999 0.0734 -0.2412 0.4272
25.7325 -0.9427 1.4932 1.6375 1.6222 0.1257 0.2037 0.1 0.8567 -0.2403 0.1413 0.13 0.0902 -0.046 0.5728
28.5575 -0.1561 0.7263 0.5682 0.5792 0.1215 0.2002 0.0182 -1.8192 0.0192 0.0356 0.1719 0.0591 0.4916 0.8833
27.8575 -0.9715 0.8962 1.0901 1.7675 0.124 0.1681 0.0248 -1.1548 -0.2672 0.1511 0.1448 0.0655 -0.0348 0.4276
20.4225 -0.2827 1.4622 1.5109 1.9418 0.1427 0.1451 0.1406 0.0678 -0.6647 0.0101 0.2445 0.1102 -0.7532 0.4759
23.1325 -0.2539 1.3772 1.3443 0.3625 0.1281 0.175 0.035 0.7862 1.7172 0.1862 0.1246 0.0451 -0.4156 0.9746
27.5275 -0.8659 1.2638 0.0914 0.4449 0.1575 0.1463 0.1128 0.3123 -0.3887 0.0236 0.2647 0.1112 0.566 0.3432
22.4675 -0.0289 0.9892 1.3298 1.5414 0.1224 0.1322 0.1386 -1.2433 0.0882 0.1694 0.2623 0.0303 0.2844 0.731
29.5775 -0.8347 0.7887 0.1194 0.8011 0.1389 0.2918 0.1416 -1.7878 -0.5568 0.1225 0.1332 0.1493 0.706 0.646
29.0825 -0.0067 1.3712 0.6439 1.6324 0.1204 0.2775 0.1983 -0.0762 -0.4412 0.2387 0.1944 0.1448 -0.2212 0.3212
29.1875 0.1613 0.5042 1.3324 0.7628 0.1423 0.2192 0.1924 0.9722 -0.5942 0.0729 0.2901 0.0576 0.3836 0.5917
28.0825 -0.6469 1.4093 1.601 1.8636 0.1641 0.1441 0.1629 0.4443 -0.5102 0.068 0.2394 0.1392 0.5956 0.8948
25.6575 -0.4309 1.1942 0.5988 1.6366 0.1238 0.1805 0.0351 0.3543 -0.7382 0.2433 0.1325 0.035 -0.5972 0.8539
20.7725 -0.1705 0.7878 0.5903 0.337 0.1218 0.1507 0.0842 -1.6212 -0.5312 0.2408 0.2842 0.0514 0.5812 0.3604
24.6475 -0.5839 0.7078 0.0769 0.3676 0.1248 0.1437 0.1739 0.1502 0.4768 0.0271 0.1281 0.1408 -0.2252 0.3849
27.3225 -0.1717 1.4612 1.5593 1.6383 0.1322 0.2607 0.0678 -0.2982 -0.9618 0.1304 0.1673 0.0834 0.786 0.969
23.5025 -0.6979 1.0898 0.1551 1.9775 0.1415 0.241 0.1448 0.8178 1.8553 0.1687 0.2544 0.1437 -0.73 0.9281
22.6375 0.1187 0.9438 1.3689 1.606 0.1308 0.2485 0.0699 -1.3228 -0.3393 0.2348 0.139 0.0263 0.0572 0.8486
22.8875 -0.0727 0.5508 0.1092 0.7739 0.1331 0.1738 0.0294 -0.4812 -0.3273 0.0524 0.2739 0.0742 -0.5996 0.5245
27.4575 -0.5605 1.0068 1.5177 0.7654 0.1613 0.1382 0.0481 -1.0258 1.3452 0.0505 0.1603 0.1068 -0.798 0.7048
25.9775 -0.6031 1.2748 1.0136 1.8075 0.1215 0.2433 0.1893 0.6513 -0.3977 0.0407 0.1499 0.1355 -0.6772 0.814
20.3825 -0.7603 0.6102 0.9329 0.3472 0.1276 0.2082 0.029 -1.1248 -0.2792 0.2382 0.2574 0.1215 -0.274 0.5434
23.2075 -0.1849 1.2972 0.2435 1.5168 0.132 0.228 0.1218 -1.9198 0.0178 0.2184 0.1266 0.0992 -0.034 0.8115
22.3275 0.0917 1.4008 1.5423 1.8687 0.1645 0.2418 0.1002 -1.6572 1.0648 0.0175 0.2695 0.0702 0.6828 0.3166
25.3425 -0.0349 1.2562 0.5257 1.8194 0.1293 0.1475 0.1087 -1.4608 -0.2463 0.1032 0.2052 0.1495 0.6612 0.8791
27.7625 -0.5581 1.0838 0.4968 1.4182 0.1347 0.1341 0.031 -0.9373 0.1663 0.2093 0.2653 0.0294 -0.5076 0.3691
21.9375 -0.3157 1.3612 1.6834 0.7951 0.1311 0.228 0.1072 -1.5912 -0.1202 0.0357 0.1388 0.0501 -0.7884 0.5116
27.4125 -0.2947 1.4352 0.5104 1.2847 0.1273 0.2857 0.0237 0.9573 0.5698 0.1041 0.12 0.0483 0.3636 0.5147
