0.178,0.27
0.356,0.22
0.534,0.27
0.712,0.43
0.89,0.41
1.068,0.49
1.246,0.46
1.424,0.6
1.602,0.65
1.78,0.62
1.958,0.7
2.67,0.81
2.848,0.69
3.026,0.81
3.204,0.89
3.382,0.86
3.56,0.89
3.738,1.1
3.916,1.05
4.094,0.99
4.272,1.05
0.178,0.15
0.356,0.24
0.534,0.43
0.712,0.43
0.89,0.49
1.068,0.51
1.246,0.51
1.424,0.52
1.602,0.56
1.78,0.52
1.958,0.59
2.67,0.81
2.848,0.84
3.026,1.08
3.204,0.88
3.382,0.86
3.56,0.96
3.738,0.94
3.916,1.02
4.094,1.28
4.272,1.04
0.178,0.2
0.356,0.35
0.534,0.36
0.712,0.49
0.89,0.38
1.068,0.49
1.246,0.47
1.424,0.57
1.602,0.54
1.78,0.59
1.958,0.6
2.67,0.7
2.848,0.83
3.026,0.86
3.204,0.78
3.382,0.96
3.56,0.94
3.738,1.07
3.916,0.96
4.094,1.08
4.272,1.17
